"V1"	"V2"
"1"	"2.72614952673346e-18"	"rflnb"
"2"	"0"	"Rasl11b"
"3"	"0.810119607347792"	"Dennd2d"
"4"	"0.56803132959197"	"Frmd7"
"5"	"0.859322798959667"	"Trav9d-3"
"6"	"0.757490754800074"	"Ipcef1"
"7"	"0.430574163749393"	"Rasal3"
"8"	"0.849780139074245"	"Arl4c"
"9"	"0.898688706161514"	"Atp1b3"
"10"	"0.861150465203212"	"Bcl11b"
"11"	"0.704583976749114"	"Slc2a4rg-ps"
"12"	"0.852391637319238"	"Cd27"
"13"	"0.756349593605735"	"Cd28"
"14"	"0.979525771562296"	"Cd3d"
"15"	"0.895689470829201"	"Cd3e"
"16"	"0.757752377242939"	"Cd6"
"17"	"0.568936853319447"	"Cd8b1"
"18"	"0.768306554133669"	"Nlrc3"
"19"	"0.953563775268803"	"Dgka"
"20"	"0.523600022141426"	"Faah"
"21"	"0.428948237377"	"Fam102a"
"22"	"0.819876282173257"	"Fam105a"
"23"	"0.682557510538587"	"Frmd8"
"24"	"0.530890883973837"	"Fyb"
"25"	"0.908669168371743"	"Gimap4"
"26"	"0.764811348550644"	"Gimap7"
"27"	"0.850525744011136"	"Gtf2i"
"28"	"0.199158649957982"	"Hrb"
"29"	"0.751297079916199"	"Il18r1"
"30"	"0.925342581254054"	"Il7r"
"31"	"0.476050004381265"	"Itk"
"32"	"0.293048152778537"	"Kif21b"
"33"	"1"	"Lat"
"34"	"0.63153020091449"	"Lcp2"
"35"	"0.450936587039425"	"Ldb1"
"36"	"0.840502267276199"	"Leprotl1"
"37"	"0.474608035141413"	"LOC100044475"
"38"	"0.775312554680417"	"Gimap3"
"39"	"0.581733321795509"	"LOC100046087"
"40"	"0.882023094216038"	"cd28"
"41"	"0.747233611198519"	"LOC386513"
"42"	"0.919018644209629"	"TRBC2"
"43"	"0.754241603336196"	"LOC674050"
"44"	"0.701542086968705"	"Ms4a6b"
"45"	"0.905673038423493"	"Peli1"
"46"	"0.77407732099398"	"Ppic"
"47"	"0.801412408114876"	"Prkch"
"48"	"0.479483375634006"	"Rsn"
"49"	"0.570896422233977"	"scl000349.1_0"
"50"	"0.780925571953759"	"Skap1"
"51"	"0.522360023194666"	"Spint2"
"52"	"0.733629581323883"	"Spn"
"53"	"0.950085832701817"	"Tcf7"
"54"	"0.713401465278891"	"Trbv13-2"
"55"	"0.529039307791694"	"Tes"
"56"	"0.645895593538983"	"Thy1"
"57"	"0.885507822290128"	"Tmem66"
"58"	"0.748854027489896"	"Traf1"
"59"	"0.764494175453816"	"Tube1"
"60"	"0.73924356541333"	"Txk"
"61"	"0.715705423034471"	"Whsc1l1"
"62"	"0.482325238741929"	"Xlr4a"
"63"	"0.539283947755704"	"Xlr4c"
"64"	"0.571331842573718"	"Kbtbd11"
"65"	"0.15819283810669"	"A130093I21Rik"
"66"	"0.474184374038182"	"C920016N10Rik"
"67"	"0.212681536340058"	"Ccl5"
"68"	"0.513036171368142"	"Cd3g"
"69"	"0.653175682641855"	"D12Ertd551e"
"70"	"0.342793730311685"	"Dnm2"
"71"	"0.21123481349039"	"Hcst"
"72"	"0.315666458001103"	"Iqgap2"
"73"	"0.224323481583374"	"Itgb7"
"74"	"0.458281570378621"	"Lck"
"75"	"0.570744647538963"	"LOC100041103"
"76"	"0.469789628092517"	"Trav7d-3"
"77"	"0.348436836854113"	"LOC236170"
"78"	"0.237771465192825"	"LOC385081"
"79"	"0.425458968930294"	"LOC385791"
"80"	"0.407008293768804"	"Trav9-1"
"81"	"0.697847237050778"	"Trav7-1"
"82"	"0.308814342153681"	"Mapk15"
"83"	"0.204489536665503"	"Mark2"
"84"	"0.544920513158235"	"Rnf125"
"85"	"0.540670368524414"	"Sema4f"
"86"	"0.627621170826936"	"Trat1"
"87"	"0.00453514260467514"	"6330500D04Rik"
"88"	"0.0133556718575216"	"Bcl9l"
"89"	"0.0206186714380622"	"Fxyd5"
"90"	"0.000339888558205346"	"Tmsb10"
"91"	"0.669942937924369"	"Ppm1h"
"92"	"0.353184712867184"	"Ccdc88b"
"93"	"0.471667751499497"	"Ctla2a"
"94"	"0.56877846085902"	"Igf2r"
"95"	"0.0850490846196616"	"Lasp1"
"96"	"0.472117728178629"	"Nme7"
"97"	"0.113259989025416"	"Npc2"
"98"	"0.490400143934875"	"Selplg"
"99"	"0.0642835640002219"	"Sgk1"
"100"	"0.0351546190596159"	"Atp1b1"
"101"	"0.0324104360669515"	"Ddit4"
"102"	"0.122861955851062"	"Hmha1"
"103"	"0.450569863900247"	"Lef1"
"104"	"0.0839818557945699"	"LOC100040243"
"105"	"0.220863635009678"	"Pik3r1"
"106"	"0.12029073327099"	"Pkp4"
"107"	"6.45485241173902e-06"	"Arhgap9"
"108"	"0.266085379609515"	"Dapl1"
"109"	"0.382072570175461"	"Nsg2"
"110"	"0.0905649644562179"	"Dpysl2"
"111"	"0.0497202803376484"	"Hsd11b1"
"112"	"0.0431196379210904"	"Slfn1"
"113"	"0.0714285352458986"	"Trav6d-4"
"114"	"0.0579277994179429"	"Slc40a1"
"115"	"0.00736497593359082"	"Cd69"
"116"	"0.0107822745913341"	"Satb1"
"117"	"0.0296182250664152"	"Inpp4b"
"118"	"0.0570126151160872"	"Slc9a3r1"
"119"	"0.0337001692819197"	"Rgs10"
"120"	"0.00161517437324733"	"Sepp1"
"121"	"0.0017996736306671"	"Trib2"
"122"	"0.00110011174766768"	"Vcam1"
